,A,B,C
2018-02-01 00:00:00,-0.002577772273687462,-0.14106732437649733,0.13587119783322407
2018-02-01 00:15:00,-0.0008928738954104544,-0.14243889786041203,0.13606542416753112
2018-02-01 00:30:00,-0.0021813507774826623,-0.14227456104806824,0.135300778021714
2018-02-01 00:45:00,-0.0011486181721392483,-0.14201199601855788,0.13560524231080218
2018-02-01 01:00:00,-0.0007600765951018383,-0.14136191096135484,0.13629691195264715
2018-02-01 01:15:00,-0.0005113562689381079,-0.1410174252732033,0.13665027903184337
2018-02-01 01:30:00,-0.0006046527805485439,-0.1413457902887888,0.1366685868663696
2018-02-01 01:45:00,-3.262853926521573e-05,-0.14167622727597023,0.13648862220411873
2018-02-01 02:00:00,-0.00036038438943745873,-0.14025471466101314,0.1362184749556176
2018-02-01 02:15:00,0.0002492389950894329,-0.14130067176939276,0.13664287244757634
2018-02-01 02:30:00,0.00013002337578174976,-0.14144275131560302,0.13602088649831814
2018-02-01 02:45:00,0.0005541506146116059,-0.14053519162617273,0.13712463772101888
2018-02-01 03:00:00,-8.83868418161131e-05,-0.14134195730991697,0.13628739362099518
2018-02-01 03:15:00,0.009950754706880137,-0.14909330645949181,0.13608969330417778
2018-02-01 03:30:00,0.010249617646456363,-0.1486154787133353,0.13604776941005328
2018-02-01 03:45:00,-0.0005397561328499167,-0.1414148770932787,0.13563651864836032
2018-02-01 04:00:00,0.0013685771119961087,-0.1402162010552938,0.1369839503589928
2018-02-01 04:15:00,0.000769903468004289,-0.14057401691044988,0.13651167691367658
2018-02-01 04:30:00,0.00034724600470946877,-0.14136376441253487,0.13605552210488706
2018-02-01 04:45:00,0.001521080874690661,-0.1405421215230974,0.1379839639013078
2018-02-01 05:00:00,0.0008584617337198865,-0.14112694542455262,0.1360957939721497
2018-02-01 05:15:00,0.0009594908570359663,-0.1417387002955314,0.13662128948159596
2018-02-01 05:30:00,0.0014340953836399657,-0.14082378615122823,0.1364087675560839
2018-02-01 05:45:00,0.0018258105420093107,-0.1415657319754961,0.13648334316255484
2018-02-01 06:00:00,0.0018958471005119113,-0.14185240935825427,0.13644055614470532
2018-02-01 06:15:00,0.002210946719225172,-0.14074781479058587,0.13647516312261135
2018-02-01 06:30:00,0.0027549682599679894,-0.14061828692323555,0.13709153646083494
2018-02-01 06:45:00,0.0018361978649011428,-0.1401226684127765,0.1363521494938445
2018-02-01 07:00:00,0.0021741195453201362,-0.1407954958554079,0.13623352061011715
2018-02-01 07:15:00,0.002170570706142515,-0.14195031800722258,0.13612386500560858
2018-02-01 07:30:00,0.004243238473110365,-0.14157915275833402,0.1367866564082235
2018-02-01 07:45:00,0.004223334521393858,-0.14013656907131516,0.13771926697623044
2018-02-01 08:00:00,0.004051246204803391,-0.13956345996899996,0.1376980949221434
2018-02-01 08:15:00,0.014749879818703933,-0.1460431744089065,0.13769698852625206
2018-02-01 08:30:00,0.015812512234347608,-0.14612557606978288,0.13882773008162927
2018-02-01 08:45:00,0.005665392413936547,-0.13841966457144542,0.1382572716027595
2018-02-01 09:00:00,0.005086374410436903,-0.14080699724694837,0.13733513902194083
2018-02-01 09:15:00,0.006854727196946815,-0.14055668584631661,0.13743972807829002
2018-02-01 09:30:00,0.0047781331645803,-0.14198543795230859,0.136499618243852
2018-02-01 09:45:00,0.00428517341165573,-0.1432024719421087,0.1346393420076729
2018-02-01 10:00:00,0.005359375886776522,-0.1427432247983634,0.13565901925292637
2018-02-01 10:15:00,0.0038749993439778077,-0.14314565902714668,0.13480151214023062
2018-02-01 10:30:00,0.002780061669676404,-0.14340039330507906,0.13407772040286003
2018-02-01 10:45:00,0.001957082301317455,-0.14304623788091625,0.13357430904061152
2018-02-01 11:00:00,0.0008196453994814459,-0.14281702812758446,0.13234332819924716
2018-02-01 11:15:00,0.001114381585713882,-0.14043653979083137,0.13306221734693258
2018-02-01 11:30:00,-0.0016207438019161448,-0.14094150668041514,0.1318873984458764
2018-02-01 11:45:00,-0.002437706595747975,-0.13981851922647023,0.13203192701507954
2018-02-01 12:00:00,-0.0032407275334465253,-0.14182843408852078,0.13130754344464787
2018-02-01 12:15:00,0.007229171406009102,-0.147946190515824,0.13169297154862675
2018-02-01 12:30:00,0.006762858185801984,-0.14815795718956976,0.1314178206785366
2018-02-01 12:45:00,-0.0039429796397583835,-0.14010664640360862,0.1323074952304272
2018-02-01 13:00:00,-0.003920528613308644,-0.14099825084743453,0.13233096374229314
2018-02-01 13:15:00,-0.004700469063266662,-0.14110528266562247,0.1320010079228892
2018-02-01 13:30:00,-0.004351603384983711,-0.14030971394701064,0.13336363927592396
2018-02-01 13:45:00,-0.004491796526775765,-0.13991363667297296,0.13339312735330652
2018-02-01 14:00:00,-0.004693927092396285,-0.1392096734538721,0.1341227862259811
2018-02-01 14:15:00,-0.002720895169217991,-0.13999347108918617,0.1351908415211379
2018-02-01 14:30:00,-0.004688746900918576,-0.139577563585495,0.13366459953886367
2018-02-01 14:45:00,-0.0033309793935449956,-0.13885382379012895,0.13447267062025597
2018-02-01 15:00:00,-0.0033316138853365746,-0.1383720010546759,0.1348408934956436
2018-02-01 15:15:00,-0.003898052836672823,-0.13871673757084255,0.13428741730048677
2018-02-01 15:30:00,-0.0036692532337036796,-0.13806154035260113,0.13481102257887093
2018-02-01 15:45:00,0.006410823006708481,-0.14554356513915528,0.13420632437463217
2018-02-01 16:00:00,0.0056352475171308125,-0.14515377425959244,0.13514295616271535
2018-02-01 16:15:00,0.0051385822547924545,-0.14648109359721395,0.13513720964918052
